precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),weather_code (wmo code),temperature_2m_mean (°C),wind_speed_10m_max (km/h),date,minimum_traffic_index,maximum_traffic_index,average_traffic_index
0.0,0.0,0.0,0.0,1,7.0,19.6,2018-01-01,1,44,11.7942238267148
0.1,0.1,0.0,1.0,51,8.7,20.9,2018-01-02,1,51,17.814035087719297
10.7,10.7,0.0,14.0,63,8.9,9.4,2018-01-03,1,57,25.46341463414634
2.4,2.4,0.0,9.0,55,8.1,14.0,2018-01-04,1,57,23.6411149825784
1.3,1.3,0.0,5.0,53,7.8,16.6,2018-01-05,1,61,26.433566433566437
0.0,0.0,0.0,0.0,3,6.4,12.0,2018-01-06,1,49,21.477351916376303
0.0,0.0,0.0,0.0,1,7.7,16.3,2018-01-07,1,40,14.651567944250871
0.0,0.0,0.0,0.0,3,9.5,10.5,2018-01-08,1,54,21.56445993031359
0.1,0.1,0.0,1.0,51,8.4,17.6,2018-01-09,1,64,25.975524475524477
0.0,0.0,0.0,0.0,3,8.7,21.6,2018-01-10,1,61,25.07317073170732
1.4,1.4,0.0,7.0,51,8.4,16.1,2018-01-11,1,71,29.713286713286717
5.4,5.4,0.0,21.0,53,8.3,19.1,2018-01-12,1,69,27.772727272727273
3.2,3.2,0.0,13.0,55,7.2,35.7,2018-01-13,1,49,24.986062717770036
2.3,2.3,0.0,10.0,51,4.6,36.2,2018-01-14,1,36,14.121951219512196
0.0,0.0,0.0,0.0,3,3.4,14.3,2018-01-15,1,54,20.65853658536585
6.7,6.7,0.0,10.0,61,6.0,19.0,2018-01-16,1,61,27.75261324041812
4.0,4.0,0.0,13.0,53,10.2,28.3,2018-01-17,1,67,28.76306620209059
11.6,11.6,0.0,19.0,61,6.8,33.7,2018-01-18,1,61,31.23344947735192
0.0,0.0,0.0,0.0,3,5.1,23.6,2018-01-19,1,67,27.7972027972028
0.2,0.2,0.0,1.0,51,8.6,32.1,2018-01-20,1,53,25.304195804195803
12.3,12.3,0.0,15.0,63,9.2,36.3,2018-01-21,1,51,20.354166666666664
11.4,11.4,0.0,22.0,61,7.6,33.9,2018-01-22,1,75,33.36713286713287
4.6,4.6,0.0,13.0,55,3.9,37.5,2018-01-23,1,59,28.469964664310957
2.6,1.6,0.7,13.0,73,2.7,35.3,2018-01-24,1,76,31.846153846153847
0.0,0.0,0.0,0.0,3,2.8,32.1,2018-01-25,1,71,29.611888111888113
0.0,0.0,0.0,0.0,3,2.7,23.3,2018-01-26,1,76,30.07773851590106
0.0,0.0,0.0,0.0,3,2.7,13.8,2018-01-27,1,62,25.70175438596491
0.0,0.0,0.0,0.0,3,3.7,11.6,2018-01-28,1,58,21.027972027972027
0.0,0.0,0.0,0.0,3,3.9,16.8,2018-01-29,1,67,25.447552447552447
0.0,0.0,0.0,0.0,1,7.0,19.1,2018-01-30,1,72,29.02097902097902
0.0,0.0,0.0,0.0,2,6.5,12.8,2018-01-31,1,74,30.049295774647888
0.0,0.0,0.0,0.0,2,8.0,28.4,2018-02-01,1,74,30.68771929824561
0.0,0.0,0.0,0.0,3,11.6,32.9,2018-02-02,1,74,28.674825174825173
0.3,0.3,0.0,2.0,51,12.8,41.0,2018-02-03,1,56,24.814035087719297
16.9,16.9,0.0,6.0,63,12.6,43.5,2018-02-04,1,62,21.743859649122808
3.0,3.0,0.0,2.0,61,6.9,18.4,2018-02-05,1,62,23.714788732394368
0.0,0.0,0.0,0.0,3,6.5,17.4,2018-02-06,1,63,25.696864111498257
0.4,0.4,0.0,2.0,51,8.6,15.3,2018-02-07,1,69,26.143356643356643
4.8,4.8,0.0,11.0,61,10.6,23.5,2018-02-08,1,69,30.61754385964912
0.0,0.0,0.0,0.0,2,9.2,15.5,2018-02-09,1,63,27.414035087719295
4.2,4.2,0.0,7.0,61,8.1,29.5,2018-02-10,1,62,25.686411149825783
13.3,13.3,0.0,18.0,63,7.9,29.7,2018-02-11,1,56,20.199300699300696
1.2,1.2,0.0,4.0,51,4.7,17.1,2018-02-12,1,65,23.646853146853143
0.0,0.0,0.0,0.0,3,5.6,11.5,2018-02-13,1,65,25.08041958041958
