precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),weather_code (wmo code),temperature_2m_mean (°C),wind_speed_10m_max (km/h),date,minimum_traffic_index,maximum_traffic_index,average_traffic_index
8.4,8.4,0.0,11.0,63,23.9,17.5,2022-09-01,1,69,32.041666666666664
0.2,0.2,0.0,2.0,51,25.3,20.1,2022-09-02,1,71,33.107638888888886
0.1,0.1,0.0,1.0,51,23.5,20.9,2022-09-03,1,56,29.277777777777775
0.7,0.7,0.0,6.0,51,22.2,26.8,2022-09-04,1,47,23.59923664122137
0.2,0.2,0.0,2.0,51,20.9,32.3,2022-09-05,1,69,32.35069444444444
0.8,0.8,0.0,5.0,51,20.6,32.6,2022-09-06,1,71,32.81597222222222
0.0,0.0,0.0,0.0,2,21.0,30.9,2022-09-07,1,71,33.28472222222222
0.0,0.0,0.0,0.0,0,20.8,22.9,2022-09-08,1,72,34.21602787456445
0.0,0.0,0.0,0.0,0,21.3,15.4,2022-09-09,1,71,34.5993031358885
0.0,0.0,0.0,0.0,0,22.0,8.9,2022-09-10,1,60,32.06643356643357
0.0,0.0,0.0,0.0,1,23.0,17.4,2022-09-11,1,47,23.206293706293703
2.4,2.4,0.0,3.0,61,20.4,28.8,2022-09-12,1,62,29.125
1.2,1.2,0.0,7.0,51,19.0,20.0,2022-09-13,1,67,30.965277777777775
0.0,0.0,0.0,0.0,3,19.7,10.4,2022-09-14,1,69,32.062717770034844
0.0,0.0,0.0,0.0,3,21.6,20.9,2022-09-15,1,71,32.79442508710801
0.0,0.0,0.0,0.0,3,24.2,16.9,2022-09-16,1,72,34.135416666666664
0.0,0.0,0.0,0.0,3,24.3,15.3,2022-09-17,1,58,30.86411149825784
10.6,10.6,0.0,5.0,63,21.9,25.6,2022-09-18,1,51,21.04513888888889
0.0,0.0,0.0,0.0,3,18.8,20.2,2022-09-19,1,65,30.26736111111111
0.0,0.0,0.0,0.0,1,17.1,26.0,2022-09-20,1,69,32.326388888888886
0.9,0.9,0.0,3.0,51,17.0,21.9,2022-09-21,1,71,33.46875
13.2,13.2,0.0,20.0,61,14.0,26.8,2022-09-22,8,80,40.09375
1.1,1.1,0.0,3.0,53,13.9,18.0,2022-09-23,4,71,34.545138888888886
0.0,0.0,0.0,0.0,2,15.4,15.1,2022-09-24,1,63,31.086805555555557
0.0,0.0,0.0,0.0,2,16.7,11.8,2022-09-25,1,54,24.041811846689892
0.0,0.0,0.0,0.0,3,17.6,17.0,2022-09-26,1,65,28.515679442508713
2.2,2.2,0.0,1.0,61,20.1,33.4,2022-09-27,1,69,31.937716262975776
3.9,3.9,0.0,7.0,61,21.7,28.5,2022-09-28,1,69,31.435540069686407
0.0,0.0,0.0,0.0,0,22.4,20.1,2022-09-29,1,74,32.91901408450704
0.0,0.0,0.0,0.0,2,22.4,13.8,2022-09-30,1,72,34.27777777777778
0.0,0.0,0.0,0.0,3,22.2,11.5,2022-10-01,1,63,32.11458333333333
5.0,5.0,0.0,5.0,63,21.5,30.3,2022-10-02,1,49,22.902777777777775
0.0,0.0,0.0,0.0,3,18.2,14.2,2022-10-03,1,74,31.277777777777775
0.2,0.2,0.0,2.0,51,16.6,18.9,2022-10-04,1,72,33.2536231884058
0.0,0.0,0.0,0.0,2,16.1,23.6,2022-10-05,2,72,34.686619718309856
0.1,0.1,0.0,1.0,51,17.1,30.8,2022-10-06,1,76,34.65925925925926
1.6,1.6,0.0,8.0,51,17.8,32.9,2022-10-07,1,72,35.10074626865672
5.6,5.6,0.0,9.0,63,18.0,25.8,2022-10-08,1,63,30.927007299270077
0.0,0.0,0.0,0.0,3,17.0,14.5,2022-10-09,1,53,21.97003745318352
0.0,0.0,0.0,0.0,3,17.2,23.3,2022-10-10,1,63,28.57560975609756
0.0,0.0,0.0,0.0,3,17.2,25.4,2022-10-11,1,72,32.00361010830325
0.5,0.5,0.0,4.0,51,16.8,24.5,2022-10-12,4,74,43.80829015544042
0.1,0.1,0.0,1.0,51,17.4,24.2,2022-10-13,1,76,34.01060070671378
1.6,1.6,0.0,7.0,53,17.0,31.4,2022-10-14,1,74,34.86379928315412
10.0,10.0,0.0,22.0,61,16.1,32.4,2022-10-15,9,74,41.35664335664336
0.6,0.6,0.0,5.0,51,16.4,33.2,2022-10-16,1,49,20.319444444444443
0.4,0.4,0.0,3.0,51,16.5,32.3,2022-10-17,1,69,28.725694444444443
0.2,0.2,0.0,2.0,51,16.7,29.1,2022-10-18,1,78,32.839285714285715
0.0,0.0,0.0,0.0,3,16.2,16.6,2022-10-19,1,71,33.84375
0.4,0.4,0.0,4.0,51,13.7,27.6,2022-10-20,1,78,32.888888888888886
0.0,0.0,0.0,0.0,1,12.6,21.2,2022-10-21,1,76,32.158490566037734
0.0,0.0,0.0,0.0,1,11.8,11.6,2022-10-22,1,65,32.81338028169014
0.0,0.0,0.0,0.0,3,14.9,22.0,2022-10-23,1,56,23.49647887323944
0.0,0.0,0.0,0.0,2,15.3,9.4,2022-10-24,1,71,30.017421602787454
0.0,0.0,0.0,0.0,3,15.3,11.5,2022-10-25,1,72,30.89641434262948
0.0,0.0,0.0,0.0,3,15.9,19.2,2022-10-26,1,74,30.62551440329218
0.0,0.0,0.0,0.0,3,15.5,19.1,2022-10-27,1,78,36.385416666666664
0.0,0.0,0.0,0.0,1,15.5,26.0,2022-10-28,2,71,35.97142857142857
0.0,0.0,0.0,0.0,2,14.0,23.9,2022-10-29,1,54,26.73790322580645
0.0,0.0,0.0,0.0,0,13.3,14.2,2022-10-30,1,53,22.174825174825173
2.0,2.0,0.0,2.0,55,13.7,17.1,2022-10-31,1,69,28.46341463414634
0.0,0.0,0.0,0.0,3,14.0,14.5,2022-11-01,1,72,33.77894736842105
0.0,0.0,0.0,0.0,0,13.1,13.3,2022-11-02,1,72,33.361111111111114
0.0,0.0,0.0,0.0,3,14.9,19.6,2022-11-03,1,72,31.770833333333332
0.0,0.0,0.0,0.0,3,15.0,14.2,2022-11-04,1,74,32.726950354609926
0.0,0.0,0.0,0.0,3,16.8,11.1,2022-11-05,1,69,30.888111888111887
0.0,0.0,0.0,0.0,3,16.8,17.1,2022-11-06,1,54,22.891986062717766
0.1,0.1,0.0,1.0,51,14.5,27.4,2022-11-07,1,72,30.729824561403507
0.0,0.0,0.0,0.0,3,12.2,17.9,2022-11-08,1,76,33.33916083916084
0.0,0.0,0.0,0.0,3,11.6,16.3,2022-11-09,1,80,43.42290748898679
0.0,0.0,0.0,0.0,0,11.2,17.1,2022-11-10,1,76,34.673611111111114
0.0,0.0,0.0,0.0,3,12.0,17.7,2022-11-11,1,78,35.22569444444444
0.0,0.0,0.0,0.0,3,14.3,27.0,2022-11-12,1,65,32.390243902439025
0.0,0.0,0.0,0.0,3,13.9,21.0,2022-11-13,1,62,24.992982456140354
0.0,0.0,0.0,0.0,3,12.5,22.5,2022-11-14,1,72,31.622377622377623
0.0,0.0,0.0,0.0,3,12.5,17.7,2022-11-15,1,81,33.964285714285715
