latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
41.01933,29.015692,36.0,10800,Europe/Istanbul,GMT+3
time,precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),weather_code (wmo code),temperature_2m_mean (°C),wind_speed_10m_max (km/h)
2018-01-01,0.00,0.00,0.00,0.0,1,7.0,19.6
2018-01-02,0.10,0.10,0.00,1.0,51,8.7,20.9
2018-01-03,10.70,10.70,0.00,14.0,63,8.9,9.4
2018-01-04,2.40,2.40,0.00,9.0,55,8.1,14.0
2018-01-05,1.30,1.30,0.00,5.0,53,7.8,16.6
2018-01-06,0.00,0.00,0.00,0.0,3,6.4,12.0
2018-01-07,0.00,0.00,0.00,0.0,1,7.7,16.3
2018-01-08,0.00,0.00,0.00,0.0,3,9.5,10.5
2018-01-09,0.10,0.10,0.00,1.0,51,8.4,17.6
2018-01-10,0.00,0.00,0.00,0.0,3,8.7,21.6
2018-01-11,1.40,1.40,0.00,7.0,51,8.4,16.1
2018-01-12,5.40,5.40,0.00,21.0,53,8.3,19.1
2018-01-13,3.20,3.20,0.00,13.0,55,7.2,35.7
2018-01-14,2.30,2.30,0.00,10.0,51,4.6,36.2
2018-01-15,0.00,0.00,0.00,0.0,3,3.4,14.3
2018-01-16,6.70,6.70,0.00,10.0,61,6.0,19.0
2018-01-17,4.00,4.00,0.00,13.0,53,10.2,28.3
2018-01-18,11.60,11.60,0.00,19.0,61,6.8,33.7
2018-01-19,0.00,0.00,0.00,0.0,3,5.1,23.6
2018-01-20,0.20,0.20,0.00,1.0,51,8.6,32.1
2018-01-21,12.30,12.30,0.00,15.0,63,9.2,36.3
2018-01-22,11.40,11.40,0.00,22.0,61,7.6,33.9
2018-01-23,4.60,4.60,0.00,13.0,55,3.9,37.5
2018-01-24,2.60,1.60,0.70,13.0,73,2.7,35.3
2018-01-25,0.00,0.00,0.00,0.0,3,2.8,32.1
2018-01-26,0.00,0.00,0.00,0.0,3,2.7,23.3
2018-01-27,0.00,0.00,0.00,0.0,3,2.7,13.8
2018-01-28,0.00,0.00,0.00,0.0,3,3.7,11.6
2018-01-29,0.00,0.00,0.00,0.0,3,3.9,16.8
2018-01-30,0.00,0.00,0.00,0.0,1,7.0,19.1
2018-01-31,0.00,0.00,0.00,0.0,2,6.5,12.8
2018-02-01,0.00,0.00,0.00,0.0,2,8.0,28.4
2018-02-02,0.00,0.00,0.00,0.0,3,11.6,32.9
2018-02-03,0.30,0.30,0.00,2.0,51,12.8,41.0
2018-02-04,16.90,16.90,0.00,6.0,63,12.6,43.5
2018-02-05,3.00,3.00,0.00,2.0,61,6.9,18.4
2018-02-06,0.00,0.00,0.00,0.0,3,6.5,17.4
2018-02-07,0.40,0.40,0.00,2.0,51,8.6,15.3
2018-02-08,4.80,4.80,0.00,11.0,61,10.6,23.5
2018-02-09,0.00,0.00,0.00,0.0,2,9.2,15.5
2018-02-10,4.20,4.20,0.00,7.0,61,8.1,29.5
2018-02-11,13.30,13.30,0.00,18.0,63,7.9,29.7
2018-02-12,1.20,1.20,0.00,4.0,51,4.7,17.1
2018-02-13,0.00,0.00,0.00,0.0,3,5.6,11.5
2018-02-14,3.30,3.30,0.00,6.0,55,8.9,31.9
2018-02-15,0.50,0.50,0.00,3.0,51,7.5,27.8
2018-02-16,0.20,0.20,0.00,2.0,51,7.0,29.1
2018-02-17,0.00,0.00,0.00,0.0,3,6.6,19.3
2018-02-18,0.00,0.00,0.00,0.0,3,6.3,17.9
2018-02-19,0.00,0.00,0.00,0.0,3,6.3,29.5
2018-02-20,0.20,0.20,0.00,2.0,51,6.9,28.4
2018-02-21,3.00,3.00,0.00,9.0,53,7.6,26.3
2018-02-22,0.00,0.00,0.00,0.0,3,8.6,23.7
2018-02-23,0.00,0.00,0.00,0.0,3,7.2,25.6
2018-02-24,2.80,2.80,0.00,3.0,61,6.8,24.4
2018-02-25,15.90,15.90,0.00,19.0,63,4.8,28.0
2018-02-26,3.40,3.40,0.00,4.0,61,5.6,40.7
2018-02-27,1.10,1.10,0.00,8.0,51,4.6,23.1
2018-02-28,15.20,15.20,0.00,8.0,63,3.9,30.6
2018-03-01,0.40,0.00,0.28,4.0,71,-0.0,21.3
2018-03-02,0.10,0.10,0.00,1.0,51,7.2,16.6
2018-03-03,12.90,12.90,0.00,11.0,63,11.0,34.8
2018-03-04,34.80,34.80,0.00,18.0,63,9.8,26.3
2018-03-05,0.00,0.00,0.00,0.0,3,7.2,30.7
2018-03-06,8.20,8.20,0.00,11.0,63,11.4,26.4
2018-03-07,5.90,5.90,0.00,9.0,61,14.1,30.4
2018-03-08,25.80,25.80,0.00,18.0,63,10.5,16.9
2018-03-09,0.20,0.20,0.00,2.0,51,8.7,12.9
2018-03-10,0.00,0.00,0.00,0.0,3,8.6,8.5
2018-03-11,0.00,0.00,0.00,0.0,3,9.8,12.0
2018-03-12,0.00,0.00,0.00,0.0,3,11.9,11.8
2018-03-13,3.10,3.10,0.00,8.0,55,12.7,26.6
2018-03-14,0.00,0.00,0.00,0.0,2,11.7,23.8
2018-03-15,1.20,1.20,0.00,1.0,55,10.4,14.3
2018-03-16,0.00,0.00,0.00,0.0,3,11.2,18.0
2018-03-17,0.00,0.00,0.00,0.0,3,14.8,26.1
2018-03-18,0.30,0.30,0.00,2.0,51,16.4,30.7
2018-03-19,4.20,4.20,0.00,12.0,53,9.9,25.5
2018-03-20,0.40,0.40,0.00,2.0,51,12.1,37.7
2018-03-21,0.00,0.00,0.00,0.0,3,12.5,18.9
2018-03-22,0.70,0.70,0.00,7.0,51,7.9,38.2
2018-03-23,2.20,2.20,0.00,6.0,55,9.1,31.9
